T90_d1;;T90_d0p5;
X;Y;X;Y
0.504121113;0.018320797;0.509477946;0.018322425
0.529579224;0.026801384;0.545776013;0.02585573
0.613994068;0.038892469;0.619571909;0.036509071
0.70382889;0.055431204;0.688231982;0.048384121
0.799178408;0.075515562;0.783549928;0.066514151
0.915955258;0.102913646;0.884477288;0.085061194
1.064841531;0.141602216;0.985436221;0.10780027
1.240701405;0.184623001;1.15581297;0.145717999
1.379379176;0.219756123;1.363719122;0.195320408
1.560848463;0.266540349;1.582528376;0.248019
1.790529246;0.323543174;1.801495493;0.301007318
2.009622654;0.378711209;2.041953086;0.358893356
2.239556018;0.427607263;2.336136871;0.40934967
2.491011431;0.470055572;2.694665794;0.459016656
2.710483711;0.49360162;2.946279071;0.482266781
2.956708582;0.523270121;3.321099501;0.507731134
3.192314506;0.539772784;3.610336898;0.514809602
3.433340408;0.546860464;3.819253376;0.516596671
3.647550573;0.558828017;4.156702268;0.524217779
3.856467051;0.560767888;4.408473408;0.526411564
4.12963395;0.568434217;4.686997139;0.533655619
4.429585012;0.576461402;4.938736707;0.540759064
4.729536074;0.584601942;5.142264779;0.547519044
4.981275642;0.59238353;5.474419983;0.54558534
5.318756106;0.595708878;5.774434191;0.543368705
5.575947224;0.587527562;5.919100249;0.539768423
5.913459262;0.58550458;;
