T90_d1;;T90_d0p5;;T50_d1;;T50_d0p5;
X;Y;X;Y;X;Y;X;Y
0.504121113;0.018320797;0.509477946;0.018322425;0.502437236;0.001377717;0.508015078;0.001293288
0.529579224;0.026801384;0.545776013;0.02585573;0.511793276;0.002033229;0.517686845;0.001743537
0.613994068;0.038892469;0.619571909;0.036509071;0.531862982;0.003001163;0.564319705;0.002743031
0.70382889;0.055431204;0.688231982;0.048384121;0.583978966;0.004554195;0.627244073;0.004051751
0.799178408;0.075515562;0.783549928;0.066514151;0.646998051;0.006546911;0.711690489;0.00582669
0.915955258;0.102913646;0.884477288;0.085061194;0.736801301;0.009415737;0.80694529;0.008156263
1.064841531;0.141602216;0.985436221;0.10780027;0.911745566;0.015959247;0.982142137;0.012859289
1.240701405;0.184623001;1.15581297;0.145717999;1.049949747;0.021757212;1.205708342;0.019392988
1.379379176;0.219756123;1.363719122;0.195320408;1.215127527;0.028106889;1.445692345;0.026483098
1.560848463;0.266540349;1.582528376;0.248019;1.407089472;0.036325806;1.648494246;0.033016593
1.790529246;0.323543174;1.801495493;0.301007318;1.604566112;0.044875685;1.910284452;0.040463375
2.009622654;0.378711209;2.041953086;0.358893356;1.818207969;0.053967905;2.129472578;0.046094689
2.239556018;0.427607263;2.336136871;0.40934967;2.385053489;0.07211513;2.380927991;0.05067048
2.491011431;0.470055572;2.694665794;0.459016656;2.749065536;0.07799788;2.611050792;0.054189814
2.710483711;0.49360162;2.946279071;0.482266781;3.113235446;0.080629502;2.959118631;0.056512188
2.956708582;0.523270121;3.321099501;0.507731134;3.386433917;0.080995708;3.237610789;0.057810514
3.192314506;0.539772784;3.610336898;0.514809602;3.702550196;0.079961449;3.612652229;0.057128123
3.433340408;0.546860464;3.819253376;0.516596671;4.104312654;0.080496096;3.960846359;0.057459022
3.647550573;0.558828017;4.156702268;0.524217779;4.452538356;0.080233188;4.255503733;0.05722049
3.856467051;0.560767888;4.408473408;0.526411564;4.843555576;0.081489205;4.550097963;0.058023377
4.12963395;0.568434217;4.686997139;0.533655619;5.170322375;0.081932084;4.828653267;0.05829209
4.429585012;0.576461402;4.938736707;0.540759064;5.513128099;0.083148177;5.042863432;0.05956776
4.729536074;0.584601942;5.142264779;0.547519044;5.845283303;0.082854518;5.310705071;0.059832991
4.981275642;0.59238353;5.474419983;0.54558534;;;5.621464517;0.059063717
5.318756106;0.595708878;5.774434191;0.543368705;;;5.916121892;0.058818523
5.575947224;0.587527562;5.919100249;0.539768423;;;;
5.913459262;0.58550458;;;;;;
