d2p9;;d1p5;;d1p0;;d0p5;
X;Y;X;Y;X;Y;X;Y
0.514293861;0.25951211;0.520693625;0.198572865;0.500829012;0.005345941;0.50428235;0.002020998
0.677614557;0.272014789;0.787360995;0.219926831;0.52696666;0.007308898;0.56837503;0.002916719
0.922643123;0.288025675;1.015914923;0.241276127;0.563527685;0.011425798;0.643334636;0.004247853
1.091381441;0.304633077;1.320727419;0.267373946;0.632942941;0.017090452;0.723806909;0.006077544
1.336410007;0.322563886;1.609223685;0.293590803;0.718674425;0.025798945;0.826076396;0.008698163
1.559609678;0.344500125;1.919517166;0.322482845;0.837165095;0.038274544;0.933763504;0.012561396
1.799188941;0.364747957;2.262569832;0.348121199;0.993959299;0.054335754;1.046963281;0.017820996
2.027901279;0.382692704;2.611103484;0.372489267;1.156234489;0.076457626;1.154808799;0.024612943
2.33280882;0.41288359;2.99778226;0.398789276;1.340560349;0.100205282;1.284451532;0.034004462
2.637874772;0.426016322;3.335480669;0.419087618;1.573898259;0.132602895;1.424929508;0.047833285
2.872068095;0.443040054;3.629648013;0.43234759;1.796559335;0.164821795;1.560179954;0.063206095
3.237076385;0.457539753;3.945612571;0.446171746;2.024796443;0.197700797;1.738929782;0.085841366
3.487617619;0.475938889;4.218014384;0.456051306;2.26412225;0.224811239;1.912388717;0.11148598
3.819930088;0.491276309;4.523112017;0.466376391;2.5415615;0.258077294;2.124182868;0.13732061
4.168590468;0.507231313;4.860905471;0.477167244;2.808323917;0.278279247;2.325173459;0.164646875
4.468238798;0.518673079;5.242293354;0.488524453;3.06425109;0.294706633;2.705832656;0.206972076
4.713425774;0.525234894;5.482062709;0.490269871;3.32565925;0.309355925;2.945285191;0.227100608
5.007624801;0.53703924;5.907076702;0.497802121;3.57075118;0.321770033;3.173870801;0.246932736
5.323652723;0.544406764;;;3.875848814;0.329054965;3.40800076;0.261424899
5.563422078;0.54635184;;;4.131839351;0.342315063;3.685725148;0.276947117
5.917563443;0.559129084;;;4.632985183;0.363847337;4.007012282;0.29621301
;;;;4.910804617;0.375268237;4.388273437;0.314284434
;;;;5.166858519;0.383484522;4.606087168;0.329693042
;;;;5.417431435;0.395361553;4.856660084;0.339904079
;;;;5.695345915;0.396999306;5.090885089;0.350346163
;;;;5.951431498;0.402086985;5.477658912;0.365173942
;;;;;;5.826414337;0.367073237
